parent_cl_book,level_1_book,level_2_book,level_3_book,ms,row_id
['0874IbnTaghribirdi.NujumZahira'],['0874IbnTaghribirdi.NujumZahira'],No Cluster,No Cluster,726,821
['0874IbnTaghribirdi.NujumZahira'],['0874IbnTaghribirdi.NujumZahira'],No Cluster,No Cluster,726,822
['0874IbnTaghribirdi.NujumZahira'],['0874IbnTaghribirdi.NujumZahira'],No Cluster,No Cluster,728,823
['0350MuhammadKindi.WulatMisr'],['0350MuhammadKindi.WulatMisr'],['0350MuhammadKindi.WulatMisr'],No Cluster,736,825
['0350MuhammadKindi.WulatMisr'],['0874IbnTaghribirdi.NujumZahira'],['0845Maqrizi.Muqaffa'],No Cluster,736,826
['0350MuhammadKindi.WulatMisr'],['0350MuhammadKindi.WulatMisr'],['0350MuhammadKindi.WulatMisr'],No Cluster,740,833
['0350MuhammadKindi.WulatMisr'],['0874IbnTaghribirdi.NujumZahira'],No Cluster,No Cluster,740,834
['0874IbnTaghribirdi.NujumZahira'],['0350MuhammadKindi.WulatMisr'],No Cluster,No Cluster,748,836
['0874IbnTaghribirdi.NujumZahira'],['0350MuhammadKindi.WulatMisr'],No Cluster,No Cluster,749,837
['0845Maqrizi.Muqaffa'],['0350MuhammadKindi.WulatMisr'],No Cluster,No Cluster,749,838
['0874IbnTaghribirdi.NujumZahira'],No Cluster,No Cluster,No Cluster,750,839
['0677IbnMuyassar.AkhbarMisr'],No Cluster,No Cluster,No Cluster,764,842
['0845Maqrizi.ItticazHunafa'],No Cluster,No Cluster,No Cluster,769,843
['0845Maqrizi.Muqaffa'],['0845Maqrizi.ItticazHunafa'],No Cluster,No Cluster,793,848
['0808IbnKhaldun.Tarikh'],['0845Maqrizi.ItticazHunafa'],No Cluster,No Cluster,794,849
['0845Maqrizi.ItticazHunafa'],No Cluster,No Cluster,No Cluster,795,850
['0845Maqrizi.ItticazHunafa'],No Cluster,No Cluster,No Cluster,809,859
['0845Maqrizi.ItticazHunafa'],No Cluster,No Cluster,No Cluster,812,862
['0845Maqrizi.MusawwadatMawaciz'],No Cluster,No Cluster,No Cluster,820,866
['0845Maqrizi.MusawwadatMawaciz'],No Cluster,No Cluster,No Cluster,825,867
['0845Maqrizi.MusawwadatMawaciz'],No Cluster,No Cluster,No Cluster,827,868
['0889IbnAhmadSakhawi.TuhfatAhbab'],No Cluster,No Cluster,No Cluster,829,869
['0845Maqrizi.MusawwadatMawaciz'],['0845Maqrizi.MusawwadatMawaciz'],No Cluster,No Cluster,836,874
['0845Maqrizi.MusawwadatMawaciz'],No Cluster,No Cluster,No Cluster,847,877
['0692IbnCabdZahir.RawdaBahiyya'],['0736IbnDawadari.KanzDurar'],No Cluster,No Cluster,856,879
['0845Maqrizi.Muqaffa'],['0692IbnCabdZahir.RawdaBahiyya'],No Cluster,No Cluster,856,880
['0677IbnMuyassar.AkhbarMisr'],No Cluster,No Cluster,No Cluster,862,884
['0845Maqrizi.Muqaffa'],No Cluster,No Cluster,No Cluster,865,887
['0845Maqrizi.MusawwadatMawaciz'],No Cluster,No Cluster,No Cluster,867,888
['0845Maqrizi.MusawwadatMawaciz'],No Cluster,No Cluster,No Cluster,868,889
